job_id,sort_order,city,district
68a9230619e0cf96,0,Hà Nội,Nam Từ Liêm
1b204041acb00d89,0,Hà Nội,Nam Từ Liêm
96a983691f005a81,0,Hà Nội,Nam Từ Liêm
ebeb1872187b52bc,0,Hà Nội,Nam Từ Liêm
5c441ffd42ac8e16,0,Hà Nội,Cầu Giấy
2207a3b291a01ca4,0,Hà Nội,Cầu Giấy
36c0002d28cd9752,0,Hà Nội,Cầu Giấy
172b312da0d38eea,0,Hồ Chí Minh,Quận 2
c52c112813f5a80f,0,Hà Nội,Nam Từ Liêm
684ad06ec21886c6,0,Hà Nội,Nam Từ Liêm
4ab8658076e05af7,0,Hà Nội,Hồ Chí Minh
727fd9876786cb16,0,Hồ Chí Minh,Quận 2
a40de8d1f8efafb9,0,Hà Nội,Tây Hồ
f3647efbabc36b2b,0,Hồ Chí Minh,Quận 12
bd03ac8329f067a3,0,Hà Nội,Nam Từ Liêm
8ba99b34e0d2e745,0,Hà Nội,Cầu Giấy
3ea488f7f7831d30,0,Hà Nội,Cầu Giấy
a39eb2a83cb8628f,0,Hà Nội,Cầu Giấy
a0c1b82478c17ee3,0,Hà Nội,Cầu Giấy
